Fonte;ID/Pasta;Código/Nome;Duração;Tipo de áudio;Imagem;Áudio;Data;Op. VT;Marcelo;Observações
CLIP2;Vídeos de Programas\Família Shoptime\19.08.2022 Família Shoptime;Esquete Oster;"00:05:48;00";Voz e BGM;OK;OK;28/10/2022;Jesus;Marcelo;Ligeiramente fora de sync, mas dentro do aceitável.
CLIP2;Vídeos de Programas\Papo a Gosto\28.10.2022 Papo a Gosto;Aboboras - CLIPE;"00:02:32;00";BGM;OK;OK;28/10/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\Papo a Gosto\28.10.2022 Papo a Gosto;O Estranho Mundo de Jack - CLIPE;"00:03:36;00";Voz e BGM;OK;OK;28/10/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\Papo a Gosto\28.10.2022 Papo a Gosto;PAPO A GOSTO_HORTIFRUITI;"00:06:54;00";Voz e BGM;OK;OK;28/10/2022;Jesus;Marcelo;Ligeiramente fora de sync, mas dentro do aceitável.
CLIP1;55389;VE-ABST_CP02;"00:00:10;00";BGM;OK;OK;31/10/2022;Jesus;André;
CLIP1;55390;VH-SHOPGAMECOMOTEMPO_CP01;"00:00:07;00";BGM;OK;OK;31/10/2022;Jesus;André;
CLIP1;55391;VH-SHOPGAMEDEMUNDIAL_CP01;"00:00:07;00";BGM;OK;OK;31/10/2022;Jesus;André;
CLIP1;55392;VH-SHOPGAMEBABIFAZTD_CP01;"00:00:07;00";BGM;OK;OK;31/10/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Renata Pitanga - Truss Night SPA;"00:01:26;00";BGM;OK;OK;31/10/2022;Jesus;Gabriel;Retestado.
CLIP2;Vídeos de Programas\Família Shoptime\31.10.2022 Família Shoptime;TUDO PRA SAI CASA_TOTA E PITA;"00:03:35;00";Voz e BGM;OK;OK;31/10/2022;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Kt Electrolux com 10 potes de fechamento hermético;"00:00:39;00";Sem áudio;OK;N/A;01/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Panela Elétrica Rouge PAN610  Cadence;"00:01:03;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55459;VH-SHOPGAMEBALACAMAS_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55460;VH-SHOPGAMECASACONFRON_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55461;VH-SHOPGAMECHAPEUBALL_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55462;VH-SHOPGAMEDEIXACOMIGO_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55463;VH-SHOPGAMEFACAVOCE_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55464;VH-SHOPGAMEIMAGEMBRO_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55465;VH-SHOPGAMEJOGOCOPO_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55466;VH-SHOPGAMENAOFALAQTE_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55467;VH-SHOPGAMEQUALEOPROD_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55468;VH-SHOPGAMERIMESEFOR_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55469;VH-SHOPGAMEROUPASUJA_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55470;VH-SHOPGAMELOGO_CP02;"00:00:06;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55471;VH-SHOPGAMEJGOBICHO_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55472;VH-SHOPGAMEMOPIANDOAI_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55473;VH-SHOPGAMEQUIZZ_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP1;55474;VH-SHOPGAMEMESTRECONF_CP02;"00:00:05;00";BGM;OK;OK;01/11/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\O Povo Fala\03.11.2022 O Povo Fala;POVO FALA_HORTIFRUTI;"00:02:20;00";Voz e BGM;OK;OK;03/11/2022;Bruno;Gabriel;
CLIP1;55493;VH-EMBARQUECOMFABI_CP01;"00:00:08;00";BGM;OK;OK;04/11/2022;Jesus;Marcelo;
CLIP1;55495;VH-DAVIEXPRESS_CP01;"00:00:07;00";BGM;OK;OK;04/11/2022;Jesus;Marcelo;
CLIP2;Vídeos de Programas\Papo a Gosto\04.11.2022 Papo a Gosto;ARROZ_CLIPE;"00:03:25;00";BGM;OK;OK;03/11/2022;Jesus;Marcelo;
CLIP2;VTs e Vídeos\VTs de Produtos;ESCOVA ALISADORA GA.MA ITALY INNOVA NANO CERAMIC ION;"00:00:38;00";BGM;OK;OK;07/11/2022;Jesus;Gabriel;
CLIP1;55530;VH-MUNDIALDAFLAVIA_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55540;VH-MUNDIALDAADRIANA_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55541;VH-MUNDIALDOANDRE_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55542;VH-MUNDIALDAANDREA_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55543;VH-MUNDIALDABABI_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55544;VH-MUNDIALDODAVI_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55545;VH-MUNDIALDAFABI_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55546;VH-MUNDIALDARENATA_CP01;"00:00:06;00";BGM;OK;OK;08/11/2022;Jesus;Marcelo;
CLIP1;55550;VT-DIFUSORAROMAS_CP01;"00:01:15;00";BGM;OK;OK;09/11/2022;Jesus;Gabriel;
CLIP1;55570;VH-DIVANDOCOMLUBLACK_CP01;"00:00:05;00";BGM;OK;OK;09/11/2022;Jesus;Gabriel;
CLIP1;55611;VH-DENORTEASULCC_CP01;"00:00:07;00";BGM;OK;OK;17/11/2022;Jesus;André;
CLIP2;Vídeos de Programas\Papo a Gosto\18.11.2022 Papo a Gosto;Bohemios_Carmen Miranda;"00:02:28;00";Voz e BGM;OK;OK;18/11/2022;Jesus;André;
CLIP2;Vídeos de Programas\Papo a Gosto\18.11.2022 Papo a Gosto;Boa da Cesta_Banana;"00:01:31;00";Voz e BGM;OK;OK;18/11/2022;Jesus;André;
CLIP1;55674;EV-BLACKFRIDAY_CP01;"00:00:10;01";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55692;EV-PAGUECOMAMEBF22_CP01;"00:00:10;00";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55693;EV-PRODUTOSBF22_CP01;"00:00:10;00";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55694;EV-CARTAOSHOPTIMEBF22_CP01;"00:00:10;00";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55695;EV-LOGOATRIZEBF22_CP01;"00:00:10;01";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55696;EV-LOGOBLACKFRIDAYBF22_CP01;"00:00:10;01";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55697;EV-LOGOASSINATURABF22_CP01;"00:00:10;01";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP1;55698;EV-LOGOCONDICAOBF22_CP01;"00:00:10;01";Sem áudio;OK;OK;21/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Fogao_52GP apresenta_COMPACTO;"00:02:00;00";Voz e BGM;OK;OK;22/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Fogão 52GP apresenta_ Natal prático;"00:02:58;00";Voz e BGM;OK;OK;22/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Fritadeira Elétrica Air Fryer 4,5L Preta - FUN KITCHEN (1);"00:01:25;00";BGM;OK;OK;22/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Lavadora de Roupas Brastemp  BWK12;"00:01:20;00";Voz e BGM;OK;OK;22/11/2022;Jesus;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Microondas Electrolux MT030;"00:00:55;00";Voz e BGM;OK;Reprovado;22/11/2022;Jesus;Marcelo;Trilha sonora alta demais e voz abafada e reverberando. Narciso disse para rodar assim mesmo.
